review_group,review_order,image_file,mask_file,tta_overall_dice,no_tta_overall_dice,tta_minus_no_tta,auto_hint,manual_error_type,gt_reliable,prediction_medically_plausible,suggest_fix_label,reviewer,notes,tta_panel_package_path,no_tta_panel_package_path,tta_rank_by_worst,tta_overall_jaccard,no_tta_overall_jaccard,class_0_dice,class_0_jaccard,class_0_fp_pixels,class_0_fn_pixels,class_0_true_pixels,class_0_pred_pixels,class_0_prob_mean,class_1_dice,class_1_jaccard,class_1_fp_pixels,class_1_fn_pixels,class_1_true_pixels,class_1_pred_pixels,class_1_prob_mean,class_2_dice,class_2_jaccard,class_2_fp_pixels,class_2_fn_pixels,class_2_true_pixels,class_2_pred_pixels,class_2_prob_mean,class_3_dice,class_3_jaccard,class_3_fp_pixels,class_3_fn_pixels,class_3_true_pixels,class_3_pred_pixels,class_3_prob_mean,tta_panel_available,no_tta_panel_available
01_tta_worst,11,18_219_206_53_21_jpg.rf.f7896ecea2d6193ad842ce21e32614c3.jpg,18_219_206_53_21_jpg.rf.f7896ecea2d6193ad842ce21e32614c3.npz,7.4654719905975497E-11,5.3398837435159001E-11,2.12558824708164E-11,B_or_C_check_class2,B,Y,N,N,,模型判断能力不足,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\011_tta_011_dice_0.0000_18_219_206_53_21_jpg.rf.f7896ecea2d6193ad842ce21e32614c3.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\011_no_tta_007_dice_0.0000_18_219_206_53_21_jpg.rf.f7896ecea2d6193ad842ce21e32614c3.jpg,11,7.4654719905975497E-11,5.3398837435159001E-11,1,1,0,0,0,0,6.0235840000000002E-3,1,1,0,0,0,0,3.7003399999999999E-4,7.4654719905975497E-11,7.4654719905975497E-11,67,13328,13328,67,6.6244000000000003E-4,1,1,0,0,0,0,3.66592E-4,yes,yes
01_tta_worst,12,17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.jpg,17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.npz,8.0379390643425795E-11,8.0379390643425795E-11,0,A_B_check_hard_miss,A,,,,,,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\012_tta_012_dice_0.0000_17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\012_no_tta_011_dice_0.0000_17_228_801_98_54_jpg.rf.8ebe0185f05300a712afcec4033fed36.jpg,12,8.0379390643425795E-11,8.0379390643425795E-11,8.0379390643425795E-11,8.0379390643425795E-11,0,12441,12441,0,5.54529E-4,1,1,0,0,0,0,4.0473499999999998E-4,1,1,0,0,0,0,1.2687309999999999E-3,1,1,0,0,0,0,5.8991999999999996E-4,yes,yes
01_tta_worst,13,18_217_217_51_6_jpg.rf.cbf35fe70230dbd98b899f57b71253c0.jpg,18_217_217_51_6_jpg.rf.cbf35fe70230dbd98b899f57b71253c0.npz,8.0411705072336304E-11,9.2420167999999997E-2,-9.2420167999999997E-2,B_or_C_check_class2,A,N,Y,Y,,炎症不典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\013_tta_013_dice_0.0000_18_217_217_51_6_jpg.rf.cbf35fe70230dbd98b899f57b71253c0.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\013_no_tta_044_dice_0.0924_18_217_217_51_6_jpg.rf.cbf35fe70230dbd98b899f57b71253c0.jpg,13,8.0411705072336304E-11,4.8448913000000003E-2,1,1,0,0,0,0,2.3892100000000001E-4,1,1,0,0,0,0,4.82234E-4,8.0411705072336304E-11,8.0411705072336304E-11,0,12436,12436,0,4.458638E-3,1,1,0,0,0,0,3.83266E-4,yes,yes
01_tta_worst,14,16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.jpg,16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.npz,9.0735870206248796E-11,1.10192839056253E-2,-1.1019284000000001E-2,B_or_C_check_class2,A,N,Y,Y,,炎症不典型，纤维化典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\014_tta_014_dice_0.0000_16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\014_no_tta_035_dice_0.0110_16_224_603_160_41_jpg.rf.16d345140514dc1a1af7b2fa01bb9539.jpg,14,9.0735870206248796E-11,5.540166E-3,1,1,0,0,0,0,2.5664399999999999E-4,1,1,0,0,0,0,4.7009999999999999E-4,9.0735870206248796E-11,9.0735870206248796E-11,0,11021,11021,0,1.5505932E-2,1,1,0,0,0,0,3.7883600000000002E-4,yes,yes
01_tta_worst,15,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.npz,1.00654255763554E-10,1.00948922832078E-10,-2.9500000000000001E-13,A_B_check_hard_miss,A,N,N,Y,,漏标纤维化,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\015_tta_015_dice_0.0000_15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\015_no_tta_017_dice_0.0000_15_242_208_32_9_jpg.rf.0e39eaba59504ed99549fc6b45c89bc2.jpg,15,1.00654255763554E-10,1.00948922832078E-10,1,1,0,0,0,0,2.2699100000000001E-4,1.00654255763554E-10,1.00654255763554E-10,29,9906,9906,29,5.8134730000000004E-3,1,1,0,0,0,0,2.26596E-4,1,1,0,0,0,0,3.2333699999999998E-4,yes,yes
01_tta_worst,16,18_217_217_62_1_jpg.rf.f3d0b4b397bdf2eefd02e85a512e50b4.jpg,18_217_217_62_1_jpg.rf.f3d0b4b397bdf2eefd02e85a512e50b4.npz,1.0098969577265701E-10,2.028106E-2,-2.028106E-2,B_or_C_check_class2,A,N,N,Y,,Gt漏标，模型未检出,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\016_tta_016_dice_0.0000_18_217_217_62_1_jpg.rf.f3d0b4b397bdf2eefd02e85a512e50b4.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\016_no_tta_037_dice_0.0203_18_217_217_62_1_jpg.rf.f3d0b4b397bdf2eefd02e85a512e50b4.jpg,16,1.0098969577265701E-10,1.02444142103195E-2,1,1,0,0,0,0,2.4477400000000001E-4,1,1,0,0,0,0,5.2662300000000004E-4,1.0098969577265701E-10,1.0098969577265701E-10,4142,5760,5760,4142,3.5133969000000001E-2,1,1,0,0,0,0,4.1591399999999998E-4,yes,yes
01_tta_worst,17,206_4_21_24_jpg.rf.3311958c84e32f4e25261561619297fb.jpg,206_4_21_24_jpg.rf.3311958c84e32f4e25261561619297fb.npz,1.16103564262726E-10,6.4494379000000004E-2,-6.4494379000000004E-2,A_B_check_hard_miss,D,Y,Y,N,,,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\017_tta_017_dice_0.0000_206_4_21_24_jpg.rf.3311958c84e32f4e25261561619297fb.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\017_no_tta_040_dice_0.0645_206_4_21_24_jpg.rf.3311958c84e32f4e25261561619297fb.jpg,17,1.16103564262726E-10,3.3321723341941799E-2,1,1,0,0,0,0,3.98133E-4,1,1,0,0,0,0,3.4935800000000003E-4,1,1,0,0,0,0,1.79581E-4,1.16103564262726E-10,1.16103564262726E-10,0,8613,8613,0,7.0907059999999996E-3,yes,yes
01_tta_worst,18,18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.jpg,18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.npz,1.2351777933794399E-10,5.6433410028366902E-11,6.70843693095779E-11,B_or_C_check_class2,B,Y,N,N,,模型检出能力不足,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\018_tta_018_dice_0.0000_18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\018_no_tta_008_dice_0.0000_18_219_208_50_7_jpg.rf.9c206cc9c51976566adb31964a912234.jpg,18,1.2351777933794399E-10,5.6433410028366902E-11,1,1,0,0,0,0,2.6380700000000002E-4,1,1,0,0,0,0,3.77809E-4,1.2351777933794399E-10,1.2351777933794399E-10,0,8096,8096,0,1.0820313356816699E-2,1,1,0,0,0,0,3.7569600000000002E-4,yes,yes
01_tta_worst,19,18_217_217_64_23_jpg.rf.f719b993024ad8ab816629426b394ba6.jpg,18_217_217_64_23_jpg.rf.f719b993024ad8ab816629426b394ba6.npz,1.2650221148380299E-10,0.17031739652156799,-0.17031739600000001,B_or_C_check_class2,A,N,Y,Y,,炎症不典型，纤维化典型,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\019_tta_019_dice_0.0000_18_217_217_64_23_jpg.rf.f719b993024ad8ab816629426b394ba6.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\019_no_tta_050_dice_0.1703_18_217_217_64_23_jpg.rf.f719b993024ad8ab816629426b394ba6.jpg,19,1.2650221148380299E-10,9.3085758000000005E-2,1,1,0,0,0,0,2.39874E-4,1,1,0,0,0,0,4.81824E-4,1.2650221148380299E-10,1.2650221148380299E-10,0,7905,7905,0,3.4776210000000002E-3,1,1,0,0,0,0,3.74039E-4,yes,yes
01_tta_worst,20,18_237_201_54_23_jpg.rf.ea40bdb839fb751855303f63a8799345.jpg,18_237_201_54_23_jpg.rf.ea40bdb839fb751855303f63a8799345.npz,1.39004724397651E-10,1.39004724397651E-10,0,A_B_check_hard_miss,B,Y,N,N,,模型未检出,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\020_tta_020_dice_0.0000_18_237_201_54_23_jpg.rf.ea40bdb839fb751855303f63a8799345.jpg,E:\project\ORO\runsTemp\manual_review_package_20260724\images\01_tta_worst\020_no_tta_021_dice_0.0000_18_237_201_54_23_jpg.rf.ea40bdb839fb751855303f63a8799345.jpg,20,1.39004724397651E-10,1.39004724397651E-10,1.39004724397651E-10,1.39004724397651E-10,0,7194,7194,0,3.8590899999999998E-4,1,1,0,0,0,0,3.03104E-4,1,1,0,0,0,0,1.72545E-4,1,1,0,0,0,0,3.4477800000000001E-4,yes,yes
