image_file,mask_file,tta_rank_by_worst,tta_overall_dice,no_tta_overall_dice,tta_minus_no_tta,tta_overall_jaccard,no_tta_overall_jaccard,class_0_dice,class_0_jaccard,class_0_fp_pixels,class_0_fn_pixels,class_0_true_pixels,class_0_pred_pixels,class_0_prob_mean,class_1_dice,class_1_jaccard,class_1_fp_pixels,class_1_fn_pixels,class_1_true_pixels,class_1_pred_pixels,class_1_prob_mean,class_2_dice,class_2_jaccard,class_2_fp_pixels,class_2_fn_pixels,class_2_true_pixels,class_2_pred_pixels,class_2_prob_mean,class_3_dice,class_3_jaccard,class_3_fp_pixels,class_3_fn_pixels,class_3_true_pixels,class_3_pred_pixels,class_3_prob_mean,tta_panel_available,no_tta_panel_available,auto_hint
201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.jpg,201_3_22_52_jpg.rf.a0a0484c47c5cf11c5e1d34d2e5da7b8.npz,1,2.390857303802285e-11,0.2009873390197754,-0.20098733899586682,2.390857303802285e-11,0.11172091960906982,1.0,1.0,0.0,0.0,0.0,0.0,0.00028037320589646697,1.0,1.0,0.0,0.0,0.0,0.0,0.00035144874709658325,1.0,1.0,0.0,0.0,0.0,0.0,0.00017347189714200795,2.390857303802285e-11,2.390857303802285e-11,36572.0,5254.0,5254.0,36572.0,0.15731725096702576,yes,no,D_check_TTA_harm
201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.jpg,201_4_17_30_jpg.rf.0e9c0c3d5ac9b736e2bb3778417cadec.npz,2,3.392015140990523e-11,3.348849669793097e-11,4.3165471197426086e-13,3.392015140990523e-11,3.348849669793097e-11,1.0,1.0,0.0,0.0,0.0,0.0,0.00029185591847635806,1.0,1.0,0.0,0.0,0.0,0.0,0.0003506079374346882,1.0,1.0,0.0,0.0,0.0,0.0,0.00017025053966790438,3.392015140990523e-11,3.392015140990523e-11,3.0,29478.0,29478.0,3.0,0.022730138152837753,yes,yes,A_B_E_check_hard_miss_or_threshold
19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.jpg,19_212_E1202_17_8_jpg.rf.9e7b4a760b91e590511affcac37f803d.npz,3,3.439854304176926e-11,3.165859241427427e-11,2.7399506274949914e-12,3.439854304176926e-11,3.165859241427427e-11,1.0,1.0,0.0,0.0,0.0,0.0,0.00023718512966297567,3.439854304176926e-11,3.439854304176926e-11,15505.0,13566.0,13566.0,15505.0,0.0681041032075882,1.0,1.0,0.0,0.0,0.0,0.0,0.001383146271109581,1.0,1.0,0.0,0.0,0.0,0.0,0.0003705259587150067,yes,yes,A_B_E_check_hard_miss_or_threshold
301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.jpg,301_1_8_21_jpg.rf.a85b93a54435b6521e51d3e2ecc2beb1.npz,4,3.733293535423954e-11,2.770543516827928e-11,9.627500185960258e-12,3.733293535423954e-11,2.770543516827928e-11,1.0,1.0,0.0,0.0,0.0,0.0,0.00029369929688982666,1.0,1.0,0.0,0.0,0.0,0.0,0.00035806981031782925,1.0,1.0,0.0,0.0,0.0,0.0,0.000174289831193164,3.733293535423954e-11,3.733293535423954e-11,16314.0,10472.0,10472.0,16314.0,0.08867096900939941,yes,yes,A_B_E_check_hard_miss_or_threshold
18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.jpg,18_228_Masson_207_33_21_jpg.rf.fa459fb908f502b94970b1867b4321fd.npz,5,3.837593090527669e-11,3.813591803458749e-11,2.400128706891991e-13,3.837593090527669e-11,3.813591803458749e-11,5.685048265480219e-11,5.685048265480219e-11,17590.0,0.0,0.0,17590.0,0.07667230069637299,1.0,1.0,0.0,0.0,0.0,0.0,0.00034592414158396423,1.1809163369402853e-10,1.1809163369402853e-10,0.0,8468.0,8468.0,0.0,0.00023373577278107405,1.0,1.0,0.0,0.0,0.0,0.0,0.0004004339571110904,yes,yes,B_or_C_check_class2
16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.jpg,16_224_604_90_60_jpg.rf.36c065f49836810209158d3afc3d3719.npz,6,4.518957083532449e-11,4.556639093822312e-11,-3.76820102898634e-13,4.518957083532449e-11,4.556639093822312e-11,5.32141344877779e-11,5.32141344877779e-11,0.0,18792.0,18792.0,0.0,0.00028876267606392503,1.0,1.0,0.0,0.0,0.0,0.0,0.0007307928754016757,2.996703718505245e-10,2.996703718505245e-10,3337.0,0.0,0.0,3337.0,0.015731310471892357,1.0,1.0,0.0,0.0,0.0,0.0,0.0003473757242318243,yes,yes,A_B_check_hard_miss
17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.jpg,17_228_801_92_39_jpg.rf.72d28916f76dc73170afc885f59f0786.npz,7,6.03318228709071e-11,5.897617116890075e-11,1.3556517020063552e-12,6.03318228709071e-11,5.897617116890075e-11,6.03318228709071e-11,6.03318228709071e-11,6900.0,9675.0,9675.0,6900.0,0.031177056953310966,1.0,1.0,0.0,0.0,0.0,0.0,0.0003692912869155407,1.0,1.0,0.0,0.0,0.0,0.0,0.00019116420298814774,1.0,1.0,0.0,0.0,0.0,0.0,0.0005806399276480079,yes,yes,A_B_E_check_hard_miss_or_threshold
18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.jpg,18_217_218_52_20_jpg.rf.1af96ac9534792faefad1703f33057e3.npz,8,6.167889810004823e-11,0.07176780700683594,-0.07176780694515704,6.167889810004823e-11,0.03721948713064194,1.0,1.0,0.0,0.0,0.0,0.0,0.0002450038737151772,1.0,1.0,0.0,0.0,0.0,0.0,0.0005040789255872369,6.167889810004823e-11,6.167889810004823e-11,7025.0,9188.0,9188.0,7025.0,0.03404969349503517,1.0,1.0,0.0,0.0,0.0,0.0,0.00041326548671349883,yes,yes,B_or_C_check_class2
18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.jpg,18_236_203_78_40_jpg.rf.ca3a6efee503bbd283ca8cdf848de145.npz,9,6.350819176104139e-11,6.131208041271208e-11,2.1961113483293104e-12,6.350819176104139e-11,6.131208041271208e-11,6.350819176104139e-11,6.350819176104139e-11,8204.0,7542.0,7542.0,8204.0,0.03583650290966034,1.0,1.0,0.0,0.0,0.0,0.0,0.0003337720117997378,1.0,1.0,0.0,0.0,0.0,0.0,0.0002016097423620522,1.0,1.0,0.0,0.0,0.0,0.0,0.00038166699232533574,yes,yes,A_B_E_check_hard_miss_or_threshold
18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.jpg,18_217_218_54_22_jpg.rf.5317b45b2825f45463bcf0b45ef0c9a6.npz,10,6.816632674988554e-11,1.0082677748268765e-10,-3.2660450732802104e-11,6.816632674988554e-11,1.0082677748268765e-10,1.0,1.0,0.0,0.0,0.0,0.0,0.00024474752717651427,1.0,1.0,0.0,0.0,0.0,0.0,0.0005003288970328867,6.816632674988554e-11,6.816632674988554e-11,6392.0,8278.0,8278.0,6392.0,0.030316533520817757,1.0,1.0,0.0,0.0,0.0,0.0,0.00039789584116078913,yes,yes,B_or_C_check_class2
