sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
25,17_209_102_10_36_jpg.rf.9a6338ed72a065b235de9818be883764.jpg,0.8000169396400452,0.9500042200088501,1.0,0.6666901707649231,0.9166725277900696,1.0
315,18_217_218_53_20_jpg.rf.02f067d2a003dd16d4b61f8ef4316c1d.jpg,0.8014187812805176,0.9503546953201294,1.0,0.6686395406723022,0.917159914970398,1.0
144,15_239_101_63_67_jpg.rf.4f61b53e2ecb714c05102e0381a19268.jpg,0.8101103901863098,0.9525275826454163,1.0,0.6808281540870667,0.9202070236206055,1.0
196,17_209_102_10_32_jpg.rf.62a813f55ba17efffc041eba3f3901d3.jpg,0.8212370276451111,0.955309271812439,1.0,0.6966939568519592,0.9241734743118286,1.0
564,16_224_603_162_39_jpg.rf.ad49d95e507da53b6b9a4d89d1fbf18f.jpg,0.822713315486908,0.9556783437728882,1.0,0.6988216042518616,0.9247053861618042,1.0
530,15_242_208_199_42_jpg.rf.21a2f1e20847ece364744b4ee741a355.jpg,0.8245987892150879,0.956149697303772,1.0,0.7015466094017029,0.9253866672515869,1.0
85,17_209_102_11_21_jpg.rf.a4260b9f7afe02f3957d1ab7dbe0c7d0.jpg,0.8264617919921875,0.9566154479980469,1.0,0.7042478322982788,0.9260619878768921,1.0
454,17_209_102_10_32_jpg.rf.25750667ffd9916eeca5792ffa4d82e9.jpg,0.8264990448951721,0.9566247463226318,1.0,0.7043020129203796,0.9260755181312561,1.0
587,17_209_102_6_33_jpg.rf.0536a57cf23acc0987d1915c271fe343.jpg,0.8332059383392334,0.9583014845848083,1.0,0.7140985727310181,0.9285246133804321,1.0
763,17_209_102_11_21_jpg.rf.38a3c1baa0b7f0dc17ca6f731251e981.jpg,0.8357976675033569,0.9589494466781616,1.0,0.7179144620895386,0.929478645324707,1.0
212,16_224_603_158_40_jpg.rf.e3d83becffaa7e5ec17a3807b0e68d55.jpg,0.8376243710517883,0.9594060778617859,1.0,0.7206141948699951,0.9301535487174988,1.0
310,16_224_101_112_11_jpg.rf.2d3e4de0777f93fa7d508c963455a454.jpg,0.8438683748245239,0.9609670639038086,1.0,0.7299068570137024,0.9324766993522644,1.0
751,17_209_102_11_22_jpg.rf.80e2d0c4bfb7acc11be55c867a7d4ea2.jpg,0.8462508320808411,0.9615626931190491,1.0,0.7334790229797363,0.9333697557449341,1.0
